name	accession	samplingDate	location
hCoV-19/Singapore/3/2020|EPI_ISL_407988|2020-02-01	EPI_ISL_407988	2020-02-01	Singapore
hCoV-19/USA/CA-CDC-3/2020|EPI_ISL_408008|2020-01-29	EPI_ISL_408008	2020-01-29	USA
hCoV-19/USA/CA-CDC-4/2020|EPI_ISL_408009|2020-01-29	EPI_ISL_408009	2020-01-29	USA
hCoV-19/USA/CA-CDC-5/2020|EPI_ISL_408010|2020-01-29	EPI_ISL_408010	2020-01-29	USA
hCoV-19/France/IDF-0515/2020|EPI_ISL_408430|2020-01-29	EPI_ISL_408430	2020-01-29	France
hCoV-19/France/IDF-0626/2020|EPI_ISL_408431|2020-01-29	EPI_ISL_408431	2020-01-29	France
hCoV-19/Chongqing/YC01/2020|EPI_ISL_408478|2020-01-21	EPI_ISL_408478	2020-01-21	ChinaChongqing
hCoV-19/Chongqing/ZX01/2020|EPI_ISL_408479|2020-01-23	EPI_ISL_408479	2020-01-23	ChinaChongqing
hCoV-19/Yunnan/IVDC-YN-003/2020|EPI_ISL_408480|2020-01-17	EPI_ISL_408480	2020-01-17	ChinaYunnan
hCoV-19/Chongqing/IVDC-CQ-001/2020|EPI_ISL_408481|2020-01-18	EPI_ISL_408481	2020-01-18	ChinaChongqing
hCoV-19/Shandong/IVDC-SD-001/2020|EPI_ISL_408482|2020-01-19	EPI_ISL_408482	2020-01-19	ChinaShandong
hCoV-19/Sichuan/IVDC-SC-001/2020|EPI_ISL_408484|2020-01-15	EPI_ISL_408484	2020-01-15	ChinaSichuan
hCoV-19/Jiangxi/IVDC-JX-002/2020|EPI_ISL_408486|2020-01-11	EPI_ISL_408486	2020-01-11	ChinaJiangxi
hCoV-19/Jiangsu/IVDC-JS-001/2020|EPI_ISL_408488|2020-01-19	EPI_ISL_408488	2020-01-19	ChinaJiangsu
hCoV-19/Taiwan/NTU01/2020|EPI_ISL_408489|2020-01-31	EPI_ISL_408489	2020-01-31	Taiwan
hCoV-19/env/Wuhan/IVDC-HBF13-20/2020|EPI_ISL_408514|2020-01-01	EPI_ISL_408514	2020-01-01	ChinaHubei
